AbiTagAttr,AccessSpecDecl,ArraySubscriptExpr,BinaryOperator,CStyleCastExpr,CXXBoolLiteralExpr,CXXConstructExpr,CXXConstructorDecl,CXXConversionDecl,CXXCtorInitializer,CXXDependentScopeMemberExpr,CXXDestructorDecl,CXXFunctionalCastExpr,CXXMemberCallExpr,CXXMethodDecl,CXXOperatorCallExpr,CXXRecordDecl,CXXStaticCastExpr,CXXTemporaryObjectExpr,CXXThisExpr,CXXUnresolvedConstructExpr,CallExpr,ClassTemplateSpecialization,CompoundAssignOperator,CompoundStmt,ConditionalOperator,ConstantExpr,CopyAssignment,CopyConstructor,DeclRefExpr,DeclStmt,DefaultConstructor,DefinitionData,DependentNameType,Destructor,EnumConstantDecl,ExprWithCleanups,FieldDecl,ForStmt,FormatAttr,FriendDecl,FunctionDecl,FunctionTemplateDecl,ImplicitCastExpr,IntegerLiteral,MaterializeTemporaryExpr,MemberExpr,MoveAssignment,MoveConstructor,NoThrowAttr,NullStmt,public,ParenExpr,ParenListExpr,ParmVarDecl,PureAttr,ReturnStmt,StringLiteral,TemplateArgument,TemplateSpecializationType,TemplateTypeParmDecl,TypedefDecl,UnaryOperator,UnresolvedLookupExpr,UsingDecl,UsingShadowDecl,WhileStmt,authors
0,1,26,52,0,22,2,2,0,2,0,1,0,1,12,0,31,0,0,0,0,28,12,0,14,4,17,19,19,156,19,19,19,1,20,3,0,0,14,0,0,19,12,183,32,0,1,19,19,3,0,7,5,0,64,0,12,10,75,24,55,0,23,17,5,9,0,.dd
0,1,0,21,4,0,2,2,0,2,0,1,0,1,2,0,2,0,0,0,0,16,0,2,7,0,1,1,1,57,8,1,1,0,2,1,0,0,3,0,0,7,1,67,13,0,1,1,1,3,0,2,10,0,16,0,3,10,1,0,3,0,8,0,3,6,0,.dd
0,1,4,14,0,2,2,2,0,2,0,1,0,1,2,0,2,0,0,0,0,14,0,1,9,0,1,1,1,52,11,1,1,0,2,1,0,0,7,0,0,7,1,56,22,0,1,1,1,3,0,2,2,0,16,0,3,11,1,0,3,0,10,0,3,6,0,.dd
0,1,0,34,0,0,2,2,0,2,0,1,0,1,2,0,2,0,0,0,0,17,0,0,10,0,1,1,1,92,10,1,1,0,2,1,0,0,5,0,0,10,1,107,23,0,1,1,1,3,0,2,11,0,25,0,10,11,1,0,3,0,16,0,3,6,0,.dd
0,1,46,51,0,19,2,2,0,2,0,1,0,1,2,0,2,0,0,0,0,23,0,0,16,0,1,1,1,198,24,1,1,0,2,1,0,0,17,0,0,12,1,222,22,0,4,1,1,3,0,2,2,0,23,0,10,11,1,0,3,0,34,0,3,6,0,.dd
0,1,7,18,2,3,2,2,0,2,0,1,0,1,2,0,4,0,0,0,0,25,0,2,21,1,2,2,2,93,14,2,2,0,3,2,0,0,6,0,0,27,2,103,19,0,4,2,2,13,0,3,2,0,36,0,13,10,2,0,7,0,11,0,11,27,0,.dd
0,1,32,39,0,2,2,2,0,2,0,1,0,1,2,0,2,0,0,0,0,18,0,0,9,9,1,1,1,141,18,1,1,0,2,1,0,0,14,0,0,7,1,167,36,0,1,1,1,3,0,2,5,0,16,0,3,10,1,0,3,0,22,0,3,6,0,.dd
0,15,2,15,0,4,3,26,0,6,8,4,0,1,45,1,14,1,0,10,2,18,4,0,34,0,3,9,9,44,4,9,9,2,13,4,0,15,2,0,0,22,14,65,34,0,20,9,9,3,0,9,2,4,83,0,26,8,6,1,29,0,7,1,5,8,0,.dd
0,1,12,24,2,0,2,2,0,2,0,1,0,1,2,0,4,0,0,0,0,30,0,0,18,1,2,2,2,114,14,2,2,0,3,2,0,0,8,0,0,27,2,125,25,0,1,2,2,13,0,3,4,0,36,0,13,10,2,0,7,0,14,0,11,27,0,.dd
0,0,31,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,44,3,0,0,0,0,0,0,0,2,0,0,1,0,74,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,.jaz
0,0,8,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,49,8,0,0,0,0,0,0,0,3,0,0,4,0,53,8,0,0,0,0,3,0,0,0,0,6,0,1,4,0,0,0,0,10,0,0,0,1,.jaz
0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,41,3,0,0,0,0,0,0,0,2,0,0,1,0,33,19,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,14,0,0,0,0,.jaz
0,0,15,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,87,13,0,0,0,0,0,0,0,5,0,0,7,1,91,13,0,0,0,0,3,0,0,5,0,12,0,3,6,1,0,3,0,13,0,3,6,0,.jaz
0,0,34,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,4,7,0,0,0,0,147,6,0,0,0,0,0,6,0,5,0,0,6,0,173,24,7,0,0,0,3,0,0,2,0,12,0,6,5,0,0,0,0,12,0,0,0,0,.jaz
0,0,6,8,0,4,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,12,0,0,7,1,0,0,0,48,8,0,0,0,0,0,0,0,5,0,0,5,0,50,7,0,3,0,0,3,0,0,2,0,7,0,4,7,0,0,0,0,9,0,0,0,0,.jaz
0,0,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,1,0,0,0,58,3,0,0,0,0,0,1,0,4,0,0,4,0,67,8,1,0,0,0,3,0,0,1,0,6,0,1,7,0,0,0,0,10,0,0,0,0,.jaz
0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,2,7,0,0,0,0,65,5,0,0,0,0,0,0,0,2,0,0,4,0,64,13,0,0,0,0,3,0,0,3,0,6,0,1,10,0,0,0,0,8,0,0,0,0,.jaz
0,0,10,33,4,3,1,0,0,0,0,0,0,3,0,10,0,0,0,0,0,22,0,0,7,0,0,0,0,91,9,0,0,0,0,0,0,0,5,0,0,5,0,116,20,0,3,0,0,3,0,0,6,0,8,0,4,6,0,0,0,0,9,0,0,0,1,.jaz
